date,id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,relative_velocity_kmh,miss_distance_km,is_potentially_hazardous
2024-08-20,3781330,(2017 QX35),22.27,0.0934447651,0.2089488469,39847.7476382447,23057584.32937984,False
2024-08-20,54203000,(2018 UY37),22.47,0.0852226386,0.1905636132,18054.1714580422,31919535.133412115,False
2024-08-20,54317182,(2022 UG2),27.11,0.0100590039,0.0224926165,24202.8412082626,57781577.654357679,False
2024-08-20,54412202,(2023 XC),28.47,0.005377185,0.0120237511,21745.6404736316,42107248.306373557,False
2024-08-20,54459242,(2024 NU2),19.42,0.3471802221,0.776318577,124395.7729222987,69296245.595990697,False
2024-08-20,54466135,(2024 PQ5),24.55,0.0327005439,0.0731206391,45246.9807078469,5170041.366228827,False
2024-08-20,54467173,(2024 QY),25.48,0.0213086029,0.0476474846,40599.4233199496,7963118.70535707,False
2024-08-20,54485959,(2024 RP74),25.93,0.0173202827,0.0387293295,22084.7744864016,12178776.554181271,False
2024-08-20,54602552,(2026 CH2),30.06,0.0025855621,0.0057814927,17854.0185105935,29111679.723816561,False
2024-08-20,54602811,(2026 CZ3),25.58,0.0203495578,0.0455029946,56025.5723337791,8840585.535434615,False
2024-08-21,3644685,(2013 NK),21.46,0.135692229,0.303417048,9423.1820165376,40200496.459591714,False
2024-08-21,3748364,(2016 FE12),20.6,0.2016299194,0.4508582062,95258.5886846437,66963555.507310223,False
2024-08-21,3767164,(2017 BO30),23.9,0.04411182,0.0986370281,61001.1999040968,44641341.438963125,False
2024-08-21,54110077,(2021 CR1),25.1,0.0253837029,0.0567596853,67396.4150094857,70409798.180318988,False
2024-08-21,54265623,(2021 QS83),22.37,0.0892390579,0.1995445996,43229.0489707256,57368620.079478096,False
2024-08-21,54413282,(2023 XO1),27.06,0.0102933082,0.0230165369,26622.6098397113,53647671.555858107,False
2024-08-21,54430726,(2024 EW3),28.41,0.0055278338,0.0123606121,13723.3605586043,23584619.644961085,False
2024-08-21,54431496,(2024 FC1),27.66,0.0078082728,0.0174598287,22708.0014254699,32235749.830213304,False
